Date,Price
2018-04-02,51.38100051879883
2018-04-03,50.807498931884766
2018-04-04,49.9114990234375
2018-04-05,52.31949996948242
2018-04-06,51.154998779296875
2018-04-09,51.00199890136719
2018-04-10,51.51300048828125
2018-04-11,51.599998474121094
2018-04-12,51.57350158691406
2018-04-13,52.34450149536133
2018-04-16,52.27750015258789
2018-04-17,53.060001373291016
2018-04-18,53.95050048828125
2018-04-19,53.45100021362305
2018-04-20,54.2135009765625
2018-04-23,54.14899826049805
2018-04-24,52.959999084472656
2018-04-25,51.48749923706055
2018-04-26,51.6609992980957
2018-04-27,52.277000427246094
2018-04-30,51.72100067138672
2018-05-01,50.814998626708984
2018-05-02,51.70000076293945
2018-05-03,51.26850128173828
2018-05-04,50.980499267578125
2018-05-07,52.69449996948242
2018-05-08,53.23099899291992
2018-05-09,53.20500183105469
2018-05-10,54.75
2018-05-11,55.02050018310547
2018-05-14,55.278499603271484
2018-05-15,54.845001220703125
2018-05-16,54.25450134277344
2018-05-17,54.073001861572266
2018-05-18,53.29999923706055
2018-05-21,53.95000076293945
2018-05-22,54.4900016784668
2018-05-23,53.5
2018-05-24,54.345001220703125
2018-05-25,54.32749938964844
2018-05-29,53.79999923706055
2018-05-30,53.67399978637695
2018-05-31,54.099998474121094
2018-06-01,55.64350128173828
2018-06-04,56.92499923706055
2018-06-05,57.733001708984375
2018-06-06,57.63850021362305
2018-06-07,57.229000091552734
2018-06-08,56.56050109863281
2018-06-11,56.64699935913086
2018-06-12,57.05099868774414
2018-06-13,57.61399841308594
2018-06-14,57.61050033569336
2018-06-15,57.99599838256836
2018-06-18,57.634498596191406
2018-06-19,58.50550079345703
2018-06-20,59.165000915527344
2018-06-21,59.2755012512207
2018-06-22,58.574501037597656
2018-06-25,57.75
2018-06-26,57.207000732421875
2018-06-27,56.79999923706055
2018-06-28,55.61949920654297
2018-06-29,56.615501403808594
2018-07-02,55.76750183105469
2018-07-03,57.47100067138672
2018-07-05,56.22999954223633
2018-07-06,57.0885009765625
2018-07-09,58.0
2018-07-10,58.4995002746582
2018-07-11,57.78099822998047
2018-07-12,58.74300003051758
2018-07-13,60.13999938964844
2018-07-16,60.19049835205078
2018-07-17,59.137001037597656
2018-07-18,60.42649841308594
2018-07-19,60.33250045776367
2018-07-20,59.96200180053711
2018-07-23,59.78300094604492
2018-07-24,63.54999923706055
2018-07-25,62.63100051879883
2018-07-26,63.35900115966797
2018-07-27,64.45600128173828
2018-07-30,62.252498626708984
2018-07-31,61.58549880981445
2018-08-01,61.955501556396484
2018-08-02,60.92499923706055
2018-08-03,62.25899887084961
2018-08-06,62.080501556396484
2018-08-07,62.60049819946289
2018-08-08,62.83599853515625
2018-08-09,63.13650131225586
2018-08-10,62.95899963378906
2018-08-13,62.560001373291016
2018-08-14,62.625
2018-08-15,62.2140007019043
2018-08-16,62.0994987487793
2018-08-17,61.10200119018555
2018-08-20,61.03300094604492
2018-08-21,61.1510009765625
2018-08-22,60.71099853515625
2018-08-23,60.99399948120117
2018-08-24,61.29999923706055
2018-08-27,62.207000732421875
2018-08-28,62.79499816894531
2018-08-29,62.75
2018-08-30,63.16999816894531
2018-08-31,62.61050033569336
2018-09-04,61.125999450683594
2018-09-05,60.46099853515625
2018-09-06,59.92850112915039
2018-09-07,58.599998474121094
2018-09-10,59.209999084472656
2018-09-11,58.55500030517578
2018-09-12,59.099998474121094
2018-09-13,58.98500061035156
2018-09-14,59.400001525878906
2018-09-17,58.88850021362305
2018-09-18,58.132999420166016
2018-09-19,58.448001861572266
2018-09-20,59.03350067138672
2018-09-21,59.74599838256836
2018-09-24,57.97050094604492
2018-09-25,59.212501525878906
2018-09-26,59.68450164794922
2018-09-27,60.0
2018-09-28,60.204498291015625
2018-10-01,60.650001525878906
2018-10-02,60.333499908447266
2018-10-03,60.599998474121094
2018-10-04,60.25149917602539
2018-10-05,58.79999923706055
2018-10-08,58.0
2018-10-09,57.56549835205078
2018-10-10,56.81999969482422
2018-10-11,53.95199966430664
2018-10-12,55.981998443603516
2018-10-15,55.900001525878906
2018-10-16,55.67399978637695
2018-10-17,57.0
2018-10-18,56.5
2018-10-19,55.18550109863281
2018-10-22,55.6254997253418
2018-10-23,54.56449890136719
2018-10-24,55.75
2018-10-25,54.01499938964844
2018-10-26,52.416500091552734
2018-10-29,54.82699966430664
2018-10-30,51.0004997253418
2018-10-31,53.40999984741211
2018-11-01,54.56999969482422
2018-11-02,54.45000076293945
2018-11-05,53.62649917602539
2018-11-06,52.750999450683594
2018-11-07,54.17449951171875
2018-11-08,55.3650016784668
2018-11-09,54.20100021362305
2018-11-12,53.65650177001953
2018-11-13,52.740501403808594
2018-11-14,53.0
2018-11-15,52.573001861572266
2018-11-16,53.26150131225586
2018-11-19,53.169498443603516
2018-11-20,50.364498138427734
2018-11-21,52.265499114990234
2018-11-23,51.67499923706055
2018-11-26,52.20000076293945
2018-11-27,52.56700134277344
2018-11-28,52.87300109863281
2018-11-29,54.17649841308594
2018-11-30,54.78150177001953
2018-12-03,56.608001708984375
2018-12-04,55.64950180053711
2018-12-06,52.25
2018-12-07,53.61149978637695
2018-12-10,52.14699935913086
2018-12-11,53.34700012207031
2018-12-12,53.854000091552734
2018-12-13,53.78350067138672
2018-12-14,53.000999450683594
2018-12-17,52.35049819946289
2018-12-18,51.70000076293945
2018-12-19,52.364498138427734
2018-12-20,51.29999923706055
2018-12-21,51.60200119018555
2018-12-24,49.215999603271484
2018-12-26,49.89950180053711
2018-12-27,51.310001373291016
2018-12-28,52.974998474121094
