date,open,high,low,close
21-09-2017,451.5,454.5,445.75,452.75
20-09-2017,444.25,450.25,443,449.5
19-09-2017,443,446.75,435.75,442.75
18-09-2017,448.5,450.88,442.5,444
15-09-2017,443.25,450.38,441,448.75
14-09-2017,443.75,450.5,442,442
13-09-2017,443.75,449.75,441.62,444.5
12-09-2017,433.75,443.75,428.5,442.5
11-09-2017,438.5,440,432,434.5
08-09-2017,437.25,442,436,437.75
07-09-2017,446.5,446.5,436,437.5
06-09-2017,441.25,448,440,445.75
05-09-2017,440.5,446.75,439.75,443.5
01-09-2017,434.75,440,434.12,438.88
31-08-2017,429.62,437.75,429.12,435.5
30-08-2017,433,433.5,427.5,429.75
29-08-2017,428,429.75,422.75,429.5
28-08-2017,434,436.5,426.75,428.75
25-08-2017,409.75,412.75,408.62,410
24-08-2017,403.5,411,400.75,409.25
23-08-2017,403.62,408.62,401.75,403.12
22-08-2017,410.5,413,402.5,403
21-08-2017,414,418.75,408.75,410
18-08-2017,415.25,417.75,412.12,416.25
17-08-2017,420,422.25,412.5,414
16-08-2017,429.38,435.75,417.25,419.25
15-08-2017,439.88,440.25,428.12,430
14-08-2017,435,440.5,431.25,440.5
11-08-2017,441.5,444,434.62,439.25
10-08-2017,458.25,461.88,439.5,440.25
09-08-2017,456.5,461.5,454.25,459.75
08-08-2017,463.5,468,454.75,457
07-08-2017,458.5,463.75,454.5,463.75
04-08-2017,457.75,461.38,454.75,455
03-08-2017,460.88,463.75,454.5,457.5
02-08-2017,463.12,466.75,456.38,461
01-08-2017,472.25,478,460.88,461.5
31-07-2017,474.5,480.75,472,474.25
28-07-2017,479.5,489.25,478,481.25
27-07-2017,479.5,485.5,477.88,480.75
26-07-2017,474.5,480.75,474.25,478
25-07-2017,493,494,474.75,475.12
24-07-2017,495,495.88,483.75,488.88
21-07-2017,507.25,510.25,497.75,499.5
20-07-2017,505.25,508.25,495.88,505.62
19-07-2017,504.25,508.88,500.25,503.62
18-07-2017,508.5,517.75,504.5,504.75
17-07-2017,508,512,503,506.5
14-07-2017,513.5,520.5,508.5,510.75
13-07-2017,533.75,534.75,509.62,511.62
12-07-2017,549.5,552.5,535,536.5
11-07-2017,556,559.25,541,553.25
10-07-2017,543,553.62,540.75,550.5
07-07-2017,537.25,545.75,530.25,535.25
06-07-2017,558.38,558.88,535.25,538.62
05-07-2017,561.62,574.25,537,558.75
03-07-2017,539.62,556.62,536.5,554.38
30-06-2017,498.25,525.75,497.5,525.75
29-06-2017,472.75,498.75,472.75,495.88
28-06-2017,470,475,468,473.25
27-06-2017,466,472.5,465.25,469
26-06-2017,471.5,474.25,464,466.25
23-06-2017,462.25,466.75,459.75,460
22-06-2017,465.25,465.25,456,461
21-06-2017,473.5,473.75,464.38,464.75
20-06-2017,469.5,474.75,463.5,471.75
19-06-2017,461.75,473.25,458.75,467.75
16-06-2017,456.25,468.25,456,466
15-06-2017,442.12,457.12,437.5,454.75
